-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                             
-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
  membership.service.ts                  |   12.98 |    10.78 |    7.84 |   13.25 | 44-53,71,84-87,97-104,120-135,194-233,243-249,261,293-325,333-360,384,411-1060,1070,1087-2039 
 src/modules/gym-subscription            |    64.1 |    42.85 |   45.45 |   63.72 |                                                                                               
  gymSubscription.controller.ts          |       0 |        0 |       0 |       0 | 1-60                                                                                          
  gymSubscription.module.ts              |       0 |      100 |     100 |       0 | 1-24                                                                                          
  gymSubscription.schema.ts              |     100 |       75 |     100 |     100 | 34-93                                                                                         
  gymSubscription.service.ts             |   65.11 |    66.66 |   83.33 |      65 | 49-75,96,111-112,128,142-143                                                                  
 src/modules/inventory                   |    53.6 |    47.61 |   38.46 |   53.93 |                                                                                               
  inventory.controller.ts                |       0 |        0 |       0 |       0 | 1-108                                                                                         
  inventory.module.ts                    |       0 |      100 |     100 |       0 | 1-23                                                                                          
  inventory.schema.ts                    |     100 |    66.66 |     100 |     100 | 23-51                                                                                         
  inventory.service.ts                   |   83.87 |    73.68 |   83.33 |   82.75 | 38,42,77-82,102                                                                               
 src/modules/member-analytics            |   18.64 |    32.14 |      20 |    17.3 |                                                                                               
  member-analytics.controller.ts         |       0 |        0 |       0 |       0 | 5-21                                                                                          
  member-analytics.module.ts             |       0 |      100 |     100 |       0 | 1-21                                                                                          
  member-analytics.service.ts            |    28.2 |       45 |   33.33 |      25 | 28-141                                                                                        
 src/modules/notifications               |   17.74 |    14.57 |    2.94 |   14.95 |                                                                                               
  external-notifications.service.ts      |   15.94 |    22.64 |       0 |   13.63 | 44-218                                                                                        
  member-invitation.service.ts           |       0 |        0 |       0 |       0 | 1-340                                                                                         
  notifications.controller.ts            |       0 |        0 |       0 |       0 | 1-117                                                                                         
  notifications.gateway.ts               |    22.5 |       50 |       0 |   18.42 | 27-75,83-102                                                                                  
  notifications.module.ts                |       0 |      100 |       0 |       0 | 1-65                                                                                          
  notifications.schema.ts                |     100 |      100 |     100 |     100 |                                                                                               
  notifications.service.ts               |   15.65 |    17.64 |    8.33 |   14.54 | 63-418                                                                                        
 src/modules/paddle                      |    2.91 |     4.14 |       0 |    2.38 |                                                                                               
  paddle.controller.ts                   |       0 |        0 |       0 |       0 | 1-313                                                                                         
  paddle.module.ts                       |       0 |      100 |       0 |       0 | 1-18                                                                                          
  paddle.service.ts                      |    4.14 |     6.66 |       0 |    3.37 | 45-953                                                                                        
 src/modules/progress                    |   75.43 |    60.71 |   77.77 |   77.66 |                                                                                               
  progress.controller.ts                 |       0 |        0 |       0 |       0 | 1-25                                                                                          
  progress.module.ts                     |       0 |      100 |     100 |       0 | 1-22                                                                                          
  progress.service.ts                    |   95.55 |    65.38 |   93.33 |   96.38 | 122,149,167                                                                                   
 src/modules/reports                     |   13.46 |    18.75 |       5 |   12.24 |                                                                                               
  reports.controller.ts                  |       0 |        0 |       0 |       0 | 1-96                                                                                          
  reports.module.ts                      |       0 |      100 |     100 |       0 | 1-23                                                                                          
  reports.service.ts                     |   23.72 |    28.57 |    8.33 |   21.05 | 25-255                                                                                        
 src/modules/reports/dtos                |       0 |        0 |     100 |       0 |                                                                                               
  add-attachments.dto.ts                 |       0 |      100 |     100 |       0 | 1-7                                                                                           
  add-response.dto.ts                    |       0 |      100 |     100 |       0 | 1-11                                                                                          
  create-report.dto.ts                   |       0 |        0 |     100 |       0 | 1-33                                                                                          
  update-report-status.dto.ts            |       0 |        0 |     100 |       0 | 1-7                                                                                           
 src/modules/reports/schemas             |     100 |       80 |     100 |     100 |                                                                                               
  report.schema.ts                       |     100 |       80 |     100 |     100 | 45                                                                                            
 src/modules/sessions                    |      10 |    10.79 |    9.09 |    9.84 |                                                                                               
  sessions.controller.ts                 |       0 |        0 |       0 |       0 | 1-64                                                                                          
  sessions.module.ts                     |       0 |      100 |       0 |       0 | 1-31                                                                                          
  sessions.service.ts                    |    12.2 |    11.58 |   13.33 |   11.94 | 50-507                                                                                        
 src/modules/sessions/dto                |       0 |        0 |     100 |       0 |                                                                                               
  create-session.dto.ts                  |       0 |        0 |     100 |       0 | 1-53                                                                                          
  update-session.dto.ts                  |       0 |        0 |     100 |       0 | 1-44                                                                                          
 src/modules/sessions/schemas            |     100 |       75 |     100 |     100 |                                                                                               
  session.schema.ts                      |     100 |       75 |     100 |     100 | 20-89                                                                                         
 src/modules/settings                    |   66.27 |    53.33 |      40 |   65.27 |                                                                                               
  settings.controller.ts                 |       0 |        0 |       0 |       0 | 1-27                                                                                          
  settings.module.ts                     |       0 |      100 |     100 |       0 | 1-19                                                                                          
  settings.schema.ts                     |     100 |      100 |     100 |     100 |                                                                                               
  settings.service.ts                    |   85.18 |    72.72 |   57.14 |      84 | 79-88                                                                                         
 src/modules/sms                         |   25.37 |    23.52 |      60 |    23.8 |                                                                                               
  sms.dto.ts                             |       0 |      100 |     100 |       0 | 1-14                                                                                          
  sms.module.ts                          |       0 |      100 |     100 |       0 | 1-10                                                                                          
  sms.service.ts                         |   30.35 |    23.52 |      60 |   27.77 | 23-90,108-138                                                                                 
 src/modules/store                       |   47.11 |    23.52 |   35.71 |   48.38 |                                                                                               
  product.schema.ts                      |     100 |       50 |     100 |     100 | 28-54                                                                                         
  store.controller.ts                    |       0 |        0 |       0 |       0 | 1-113                                                                                         
  store.module.ts                        |       0 |      100 |     100 |       0 | 1-23                                                                                          
  store.service.ts                       |   65.11 |       50 |   71.42 |   68.42 | 23-29,46,82-104                                                                               
 src/modules/system-alerts               |   36.47 |    53.57 |      50 |   38.66 |                                                                                               
  system-alerts.controller.ts            |       0 |        0 |       0 |       0 | 1-65                                                                                          
  system-alerts.module.ts                |       0 |      100 |       0 |       0 | 1-19                                                                                          
  system-alerts.schema.ts                |       0 |        0 |     100 |       0 | 7-56                                                                                          
  system-alerts.service.ts               |   91.17 |       75 |      90 |   90.62 | 26-27,52                                                                                      
 src/modules/training                    |   53.02 |    34.25 |    12.9 |    49.6 |                                                                                               
  training.controller.ts                 |       0 |        0 |       0 |       0 | 1-196                                                                                         
  training.module.ts                     |       0 |      100 |     100 |       0 | 1-23                                                                                          
  training.schema.ts                     |     100 |       75 |     100 |     100 | 47-210                                                                                        
  training.service.ts                    |   32.72 |    28.78 |   22.22 |   31.77 | 29-142,151,164-198,215,233-234,254,263,290-354                                                
 src/modules/upload                      |   11.68 |     8.33 |   11.11 |   10.29 |                                                                                               
  upload.constants.ts                    |       0 |        0 |       0 |       0 | 7-64                                                                                          
  upload.controller.ts                   |       0 |        0 |       0 |       0 | 1-84                                                                                          
  upload.module.ts                       |       0 |      100 |     100 |       0 | 1-12                                                                                          
  upload.service.ts                      |      45 |    33.33 |      25 |   38.88 | 20-49                                                                                         
 src/modules/users                       |   14.85 |    13.11 |   14.63 |   15.24 |                                                                                               
  role.schema.ts                         |       0 |      100 |     100 |       0 | 2-15                                                                                          
  users.controller.ts                    |       0 |        0 |       0 |       0 | 1-298                                                                                         
  users.module.ts                        |       0 |      100 |       0 |       0 | 1-75                                                                                          
  users.service.ts                       |   23.11 |    15.53 |   26.08 |   23.92 | 46-75,104-136,143,154-160,172-178,196-410,417,425,432,451,459,471,487,499-695                 
 src/modules/users/guards                |       0 |        0 |       0 |       0 |                                                                                               
  gym-permissions.guard.ts               |       0 |        0 |       0 |       0 | 25-212                                                                                        
  permissions.guard.ts                   |       0 |        0 |       0 |       0 | 22-160                                                                                        
  roles.guard.ts                         |       0 |        0 |       0 |       0 | 20-101                                                                                        
-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
